year,month,anomaly
1850,1,-0.725  0.398
1850,2,-0.179  0.397
1850,3,-0.348  0.349
1850,4,-0.577  0.352
1850,5,-0.600  0.349
1850,6,-0.323  0.339
1850,7,-0.151  0.298
1850,8,-0.139  0.325
1850,9,-0.396  0.297
1850,10,-0.564  0.330
1850,11,-0.551  0.477
1850,12,-0.463  0.322
1851,1,-0.132  0.379
1851,2,-0.379  0.308
1851,3,-0.537  0.309
1851,4,-0.605  0.384
1851,5,-0.304  0.380
1851,6,-0.229  0.316
1851,7,-0.193  0.242
1851,8,-0.281  0.266
1851,9,-0.366  0.299
1851,10,-0.121  0.355
1851,11,-0.362  0.322
1851,12,-0.122  0.325
1852,1,-0.211  0.464
1852,2,-0.479  0.465
1852,3,-0.734  0.350
1852,4,-0.504  0.296
1852,5,-0.127  0.365
1852,6,-0.091  0.320
1852,7,-0.016  0.245
1852,8,-0.326  0.266
1852,9,-0.279  0.277
1852,10,-0.142  0.236
1852,11,-0.521  0.289
1852,12,0.106  0.332
1853,1,-0.317  0.427
1853,2,-0.330  0.480
1853,3,-0.377  0.304
1853,4,-0.248  0.338
1853,5,-0.242  0.315
1853,6,-0.149  0.295
1853,7,0.053  0.223
1853,8,-0.034  0.263
1853,9,-0.377  0.248
1853,10,-0.453  0.264
1853,11,-0.633  0.283
1853,12,-0.305  0.259
1854,1,-0.525  0.390
1854,2,-0.563  0.329
1854,3,-0.253  0.279
1854,4,-0.383  0.267
1854,5,-0.260  0.304
1854,6,-0.444  0.285
1854,7,-0.152  0.283
1854,8,-0.176  0.247
1854,9,-0.234  0.256
1854,10,0.132  0.367
1854,11,-0.220  0.339
1854,12,-0.189  0.492
1855,1,-0.005  0.525
1855,2,-0.091  0.424
1855,3,-0.248  0.299
1855,4,-0.062  0.262
1855,5,-0.209  0.303
1855,6,-0.311  0.210
1855,7,-0.347  0.226
1855,8,-0.227  0.231
1855,9,-0.454  0.213
1855,10,-0.285  0.250
1855,11,-0.369  0.271
1855,12,-0.526  0.344
1856,1,0.046  0.351
1856,2,-0.373  0.438
1856,3,-0.392  0.295
1856,4,-0.391  0.245
1856,5,-0.320  0.264
1856,6,-0.108  0.311
1856,7,-0.269  0.287
1856,8,-0.500  0.268
1856,9,-0.693  0.238
1856,10,-0.652  0.229
1856,11,-0.559  0.258
1856,12,-0.414  0.285
1857,1,-0.501  0.385
1857,2,-0.536  0.310
1857,3,-0.614  0.296
1857,4,-0.799  0.262
1857,5,-0.733  0.245
1857,6,-0.531  0.204
1857,7,-0.474  0.238
1857,8,-0.434  0.243
1857,9,-0.457  0.252
1857,10,-0.508  0.267
1857,11,-0.483  0.267
1857,12,-0.211  0.271
1858,1,-0.202  0.425
1858,2,-0.478  0.279
1858,3,-0.291  0.229
1858,4,-0.262  0.206
1858,5,-0.391  0.197
1858,6,-0.238  0.188
1858,7,-0.297  0.197
1858,8,-0.303  0.216
1858,9,-0.463  0.197
1858,10,-0.259  0.210
1858,11,-0.158  0.260
1858,12,-0.478  0.267
1859,1,-0.339  0.309
1859,2,-0.284  0.288
1859,3,-0.227  0.215
1859,4,0.032  0.205
1859,5,0.035  0.242
1859,6,-0.094  0.209
